,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02401881217956543,0.011396236532508283,0.0010475635528564454,8.501879498040314e-05,0.5756318160453838,4,72,"{'colsample_bytree': 0.5756318160453838, 'max_depth': 4, 'n_estimators': 72}",-0.4683502183792028,-0.4225198436004905,-0.5473905393731648,-0.4355795538983533,-0.6380279906860821,-0.5023736291874588,0.08052862353919958,8
1,0.03807907104492188,0.0005342342178384426,0.0012576580047607422,0.0001811609104499338,0.5107131882359732,5,113,"{'colsample_bytree': 0.5107131882359732, 'max_depth': 5, 'n_estimators': 113}",-0.47274301406836616,-0.4335911869064278,-0.538478707970036,-0.4098154011792238,-0.6961274952188654,-0.5101511610685838,0.10268175163650684,12
2,0.009703588485717774,0.0002066913023054211,0.0009999275207519531,6.055794362830364e-05,0.23913953001137644,3,50,"{'colsample_bytree': 0.23913953001137644, 'max_depth': 3, 'n_estimators': 50}",-0.46844238953237927,-0.4634373734938167,-0.5521389881304869,-0.41762253562241836,-0.5584668357506881,-0.4920216245059579,0.054657712467840826,4
3,0.025733757019042968,0.0010146403244306766,0.0010844230651855468,7.067437721754094e-05,0.5602470087056683,4,100,"{'colsample_bytree': 0.5602470087056683, 'max_depth': 4, 'n_estimators': 100}",-0.47220796379095004,-0.4329852567470338,-0.5616868352702608,-0.4364497306902855,-0.6587806183325725,-0.5124220809662206,0.0866568170951611,16
4,0.029294204711914063,0.0012620699445074388,0.0011732101440429688,0.0001824367002696214,0.25803364769135745,4,123,"{'colsample_bytree': 0.25803364769135745, 'max_depth': 4, 'n_estimators': 123}",-0.48282577768069673,-0.5715752233719372,-0.6130250135411464,-0.4485038955290881,-0.665418005826887,-0.5562695831899511,0.08046894514601376,21
5,0.034143829345703126,0.0014411362948876193,0.001091766357421875,3.22432900178643e-05,0.6296819621531882,4,133,"{'colsample_bytree': 0.6296819621531882, 'max_depth': 4, 'n_estimators': 133}",-0.4852809035633075,-0.4377073436573278,-0.5614388835289063,-0.46419307589873376,-0.6634476086386348,-0.5224135630573821,0.0816788599113178,19
6,0.01946268081665039,0.0002583355950444986,0.0010013103485107422,1.3444271254212438e-05,0.5764481258255985,3,103,"{'colsample_bytree': 0.5764481258255985, 'max_depth': 3, 'n_estimators': 103}",-0.42334395345644854,-0.4577798809571014,-0.5036052418951998,-0.4188791911440013,-0.6284465571904919,-0.4864109649286486,0.07723662344444668,2
7,0.0226806640625,0.000540025157334749,0.0010162830352783204,3.694998801064701e-05,0.4888466668916417,5,65,"{'colsample_bytree': 0.4888466668916417, 'max_depth': 5, 'n_estimators': 65}",-0.46895462431389756,-0.4356306685120221,-0.5360550341331102,-0.404847811868523,-0.7020314011050834,-0.5095039079865272,0.10566569573674267,11
8,0.017479515075683592,0.0005170271359387788,0.0010660648345947265,0.00010539315874338518,0.8486980957789447,4,65,"{'colsample_bytree': 0.8486980957789447, 'max_depth': 4, 'n_estimators': 65}",-0.5130786961107167,-0.4277241896290329,-0.5572034169342656,-0.41645657787504625,-0.656215860645258,-0.5141357482388639,0.08837519739363082,17
9,0.04028277397155762,0.0006609821745444239,0.0011317729949951172,6.969509714363925e-05,0.81311987226096,5,115,"{'colsample_bytree': 0.81311987226096, 'max_depth': 5, 'n_estimators': 115}",-0.4223663874512608,-0.43813214814080265,-0.467583211122111,-0.4462774216319294,-0.6919478237009854,-0.49326139840941785,0.10040766483219102,5
10,0.038085126876831056,0.0003718630590488137,0.001115560531616211,7.592170026696114e-05,0.9184989129498673,5,108,"{'colsample_bytree': 0.9184989129498673, 'max_depth': 5, 'n_estimators': 108}",-0.45156822942686653,-0.49359093699035816,-0.4988104504979863,-0.4302645795404824,-0.6181568439982715,-0.498478208090793,0.06511622979680393,7
11,0.029300689697265625,0.00037087424293288327,0.0011473655700683593,0.00018189813267549968,0.5308134220606182,4,118,"{'colsample_bytree': 0.5308134220606182, 'max_depth': 4, 'n_estimators': 118}",-0.464302242926953,-0.455137909403682,-0.5382855901186364,-0.4302993494573463,-0.6372405156221465,-0.5050531215057529,0.0752571499234365,10
12,0.017055463790893555,0.0002762323625131091,0.0010822296142578125,0.00013583879661212164,0.4225570501061202,3,91,"{'colsample_bytree': 0.4225570501061202, 'max_depth': 3, 'n_estimators': 91}",-0.48608374901878526,-0.4547009908432631,-0.5777746731149408,-0.4395625715719557,-0.5951862157637214,-0.5106616400625332,0.06393638656099956,14
13,0.03492555618286133,0.0006703723449957561,0.0011712074279785155,0.000207300840088002,0.5190487736146758,4,141,"{'colsample_bytree': 0.5190487736146758, 'max_depth': 4, 'n_estimators': 141}",-0.4689679586722672,-0.45878352501866737,-0.5413836794906842,-0.4344164300563878,-0.6487330468627894,-0.5104569280201592,0.07778223638413086,13
14,0.04561972618103027,0.00043436622393912624,0.001131582260131836,6.562540576268672e-05,0.2901757346519618,5,142,"{'colsample_bytree': 0.2901757346519618, 'max_depth': 5, 'n_estimators': 142}",-0.4826899987410827,-0.4889486936886409,-0.5541103878717425,-0.4259266935171284,-0.6692071645238375,-0.5241765876684864,0.08312049553923993,20
